sch_grp,N_total,n_total,strata,contributors_total,retirees_total,contributions_total,benefits_total,N_scale_C,N_scale_R,money_scale_C,money_scale_R,regr_0_target,retir_0_target,regr_0_weighted,retir_0_weighted,deaths_expected_w,deaths_achieved_w
C,1353610.0,4239,18,1353610.0,174164.0,1544070000.0,1748834000.0,1.0000000000073876,0.9999942583182614,1.0079932808322034,1.0022401252757849,186609.0,31352.0,171133.91361432913,31922.406669543525,65722.13181382965,88785.95577929352
R,174164.0,1555,16,1353610.0,174164.0,1544070000.0,1748834000.0,1.0000000000073876,0.9999942583182614,1.0079932808322034,1.0022401252757849,186609.0,31352.0,171133.91361432913,31922.406669543525,65722.13181382965,88785.95577929352
N,8535453.0,4239,18,1353610.0,174164.0,1544070000.0,1748834000.0,1.0000000000073876,0.9999942583182614,1.0079932808322034,1.0022401252757849,186609.0,31352.0,171133.91361432913,31922.406669543525,65722.13181382965,88785.95577929352
