sch_grp,N_total,n_total,strata,contributors_total,retirees_total,contributions_total,benefits_total,N_scale_C,N_scale_R,money_scale_C,money_scale_R,regr_0_target,retir_0_target,regr_0_weighted,retir_0_weighted,deaths_expected_w,deaths_achieved_w
C,1242384.9999999998,4239,18,1242385.0,156262.0,1767060000.0,1235746000.0,1.000000000032196,0.9999936005324357,1.0079745693277211,1.0022889307424627,188183.0,14186.0,181968.10473305397,13483.381587285992,68703.17550974763,91149.62140857021
R,156262.0,1556,16,1242385.0,156262.0,1767060000.0,1235746000.0,1.000000000032196,0.9999936005324357,1.0079745693277211,1.0022889307424627,188183.0,14186.0,181968.10473305397,13483.381587285992,68703.17550974763,91149.62140857021
N,9183587.9999,4239,18,1242385.0,156262.0,1767060000.0,1235746000.0,1.000000000032196,0.9999936005324357,1.0079745693277211,1.0022889307424627,188183.0,14186.0,181968.10473305397,13483.381587285992,68703.17550974763,91149.62140857021
