sch_grp,N_total,n_total,strata,contributors_total,retirees_total,contributions_total,benefits_total,N_scale_C,N_scale_R,money_scale_C,money_scale_R,regr_0_target,retir_0_target,regr_0_weighted,retir_0_weighted,deaths_expected_w,deaths_achieved_w
C,1633505.0,4238,18,1633505.0,227407.0,4167563999.9999995,3302751000.0,1.0000000000428526,0.9999956026173221,1.0082182239566084,1.0002969681629936,204136.0,22381.0,186426.81680950377,18887.853984534886,76708.76349330925,98499.45716242002
R,227407.0,1550,16,1633505.0,227407.0,4167563999.9999995,3302751000.0,1.0000000000428526,0.9999956026173221,1.0082182239566084,1.0002969681629936,204136.0,22381.0,186426.81680950377,18887.853984534886,76708.76349330925,98499.45716242002
N,9874694.0001,4238,18,1633505.0,227407.0,4167563999.9999995,3302751000.0,1.0000000000428526,0.9999956026173221,1.0082182239566084,1.0002969681629936,204136.0,22381.0,186426.81680950377,18887.853984534886,76708.76349330925,98499.45716242002
