sch_grp,N_total,n_total,strata,contributors_total,retirees_total,contributions_total,benefits_total,N_scale_C,N_scale_R,money_scale_C,money_scale_R,regr_0_target,retir_0_target,regr_0_weighted,retir_0_weighted,deaths_expected_w,deaths_achieved_w
C,1633505.0,4238.0,18,1633505.0,227407.0,4167563999.9999995,3302751000.0,0.9419531441176741,1.007268587829877,1.008165591806159,0.9983331620449138,204136.0,22381.0,214603.5879731007,21618.63521735706,366783.8053244531,374317.16557740676
R,227407.00000000003,1476.0,16,1633505.0,227407.0,4167563999.9999995,3302751000.0,0.9419531441176741,1.007268587829877,1.008165591806159,0.9983331620449138,204136.0,22381.0,214603.5879731007,21618.63521735706,366783.8053244531,374317.16557740676
N,9376380.0001,4238.0,18,1633505.0,227407.0,4167563999.9999995,3302751000.0,0.9419531441176741,1.007268587829877,1.008165591806159,0.9983331620449138,204136.0,22381.0,214603.5879731007,21618.63521735706,366783.8053244531,374317.16557740676
